(1078, 3426)#(3426, 4185)#(4185, 1347)#(1347, 1620)#(1620, 1198)#(1198, 3120)#(3120, 4857)#(4857, 1172)#(1172, 590)#(590, 3116)#(3116, 3307)#(3307, 4707)#(4707, 4925)
(55, 846)#(846, 755)#(755, 1174)#(1174, 1215)#(1215, 2053)#(2053, 4185)#(4185, 2686)#(2686, 3943)#(3943, 3864)#(3864, 3876)#(3876, 3888)#(3888, 3933)#(3933, 3903)#(3903, 3738)
(260, 1475)#(1475, 3382)#(3382, 347)#(347, 846)#(846, 3536)#(3536, 4201)#(4201, 4202)#(4202, 4205)#(4205, 4189)#(4189, 4194)#(4194, 4183)#(4183, 4185)#(4185, 4171)#(4171, 4148)
(590, 896)#(896, 997)#(997, 2600)#(2600, 111)#(111, 2689)#(2689, 4185)#(4185, 3385)#(3385, 4094)#(4094, 4235)#(4235, 4270)#(4270, 1877)#(1877, 3821)#(3821, 4083)#(4083, 2186)
(3024, 1207)#(1207, 2028)#(2028, 2027)#(2027, 3277)#(3277, 3616)#(3616, 1874)#(1874, 892)#(892, 2100)#(2100, 4185)#(4185, 318)#(318, 846)#(846, 526)#(526, 1128)#(1128, 4881)
(355, 1197)#(1197, 1228)#(1228, 1567)#(1567, 1706)#(1706, 1245)#(1245, 4496)#(4496, 1165)#(1165, 4185)#(4185, 1152)#(1152, 2218)#(2218, 1253)#(1253, 3807)#(3807, 3395)#(3395, 3821)
(526, 1198)#(1198, 4185)#(4185, 4871)#(4871, 1172)#(1172, 2588)#(2588, 163)#(163, 894)#(894, 1448)#(1448, 4242)#(4242, 4811)#(4811, 4901)#(4901, 4921)#(4921, 4887)#(4887, 4933)
(1947, 1245)#(1245, 3584)#(3584, 4185)#(4185, 281)#(281, 993)#(993, 1078)#(1078, 2239)#(2239, 3064)#(3064, 51)#(51, 526)#(526, 590)#(590, 2242)#(2242, 605)#(605, 1128)
(3663, 3721)#(3721, 465)#(465, 715)#(715, 1240)#(1240, 4179)#(4179, 4185)#(4185, 4155)#(4155, 4108)#(4108, 4109)#(4109, 1172)#(1172, 2775)#(2775, 526)#(526, 296)#(296, 590)
(1664, 2388)#(2388, 3672)#(3672, 260)#(260, 778)#(778, 2787)#(2787, 3085)#(3085, 4185)#(4185, 1174)#(1174, 2122)#(2122, 3017)#(3017, 3400)#(3400, 4505)#(4505, 846)#(846, 1116)
(898, 1077)#(1077, 840)#(840, 933)#(933, 1880)#(1880, 4185)#(4185, 1176)#(1176, 2485)#(2485, 260)#(260, 2992)#(2992, 3104)#(3104, 4135)#(4135, 4155)#(4155, 4215)#(4215, 4356)
(1176, 1919)#(1919, 2789)#(2789, 4011)#(4011, 898)#(898, 4235)#(4235, 4215)#(4215, 4200)#(4200, 4185)#(4185, 4179)#(4179, 3821)#(3821, 3775)#(3775, 3925)#(3925, 890)#(890, 3385)
(1174, 3046)#(3046, 3217)#(3217, 1233)#(1233, 1234)#(1234, 1664)#(1664, 3376)#(3376, 4268)#(4268, 4270)#(4270, 4258)#(4258, 4227)#(4227, 4205)#(4205, 4185)#(4185, 4189)#(4189, 4179)
(2206, 4393)#(4393, 750)#(750, 2641)#(2641, 4211)#(4211, 1172)#(1172, 3412)#(3412, 4185)#(4185, 1078)#(1078, 1187)#(1187, 3614)#(3614, 4277)#(4277, 1206)#(1206, 3672)#(3672, 1128)
(1115, 1187)#(1187, 1237)#(1237, 4137)#(4137, 4185)#(4185, 1823)#(1823, 1172)#(1172, 2859)#(2859, 2988)#(2988, 3911)#(3911, 4879)#(4879, 4880)#(4880, 4832)#(4832, 4837)#(4837, 4838)
(112, 2396)#(2396, 3400)#(3400, 4185)#(4185, 1942)#(1942, 4219)#(4219, 499)#(499, 1198)#(1198, 2035)#(2035, 1400)#(1400, 2546)#(2546, 2937)#(2937, 30)#(30, 260)#(260, 540)
